Quantity,UnitPrice,Discount,Category,CompetitorPrice,elasticity_index
38,1.71,0.47,Apparel,49.0,3.0
18,41.25,0.19,Electronics,49.35,0.9690545454545455
49,29.11,0.35,Electronics,49.35,1.1019409137753349
14,76.68,0.14,Accessories,49.03,0.5498930620761606
47,70.16,0.48,Electronics,49.35,0.36576396807297606
25,85.74,0.15,Stationery,48.765,0.48344121763470965
8,95.65,0.04,Electronics,49.35,0.49530580240460004
19,98.19,0.05,Apparel,49.0,0.47408086363173435
40,98.17,0.16,Apparel,49.0,0.41927269023123154
49,87.56,0.19,Stationery,48.765,0.45111523526724534
41,59.51,0.39,Furniture,48.36,0.4957082843219627
41,25.59,0.01,Electronics,49.35,1.9092028135990622
3,2.09,0.47,Stationery,48.765,3.0
29,35.88,0.06,Electronics,49.35,1.2928929765886288
16,82.58,0.41,Furniture,48.36,0.3455122305643013
7,70.85,0.0,Apparel,49.0,0.6916019760056458
49,14.91,0.36,Stationery,48.765,2.0931991951710263
21,1.07,0.49,Accessories,49.03,3.0
46,27.03,0.26,Furniture,48.36,1.323951165371809
43,77.17,0.3,Accessories,49.03,0.4447453673707399
14,66.89,0.42,Furniture,48.36,0.41932725370010465
39,66.18,0.07,Accessories,49.03,0.6889981867633725
24,70.01,0.12,Stationery,48.765,0.6129581488358806
48,27.87,0.24,Electronics,49.35,1.3457481162540366
30,59.53,0.25,Stationery,48.765,0.6143751049890811
33,97.96,0.23,Stationery,48.765,0.38331002449979584
22,28.73,0.25,Apparel,49.0,1.2791507135398537
10,86.71,0.36,Furniture,48.36,0.35694152923538236
11,90.69,0.39,Furniture,48.36,0.3252795236520013
15,40.36,0.03,Stationery,48.765,1.172003221010902
48,8.39,0.08,Electronics,49.35,3.0
30,99.31,0.31,Accessories,49.03,0.3406575370053368
14,10.32,0.01,Stationery,48.765,3.0
32,82.94,0.15,Electronics,49.35,0.5057571738606221
26,35.39,0.02,Stationery,48.765,1.350372986719412
21,61.34,0.24,Furniture,48.36,0.5991783501793283
5,30.77,0.31,Stationery,48.765,1.09352778680533
47,38.11,0.27,Stationery,48.765,0.9340973497769615
12,29.06,0.15,Stationery,48.765,1.426367859600826
29,21.32,0.16,Furniture,48.36,1.9053658536585363
21,36.85,0.15,Electronics,49.35,1.1383310719131614
25,86.68,0.02,Accessories,49.03,0.5543308721735117
16,9.08,0.04,Apparel,49.0,3.0
31,2.1,0.29,Furniture,48.36,3.0
20,24.36,0.07,Apparel,49.0,1.8706896551724137
31,84.83,0.12,Stationery,48.765,0.5058729223152187
11,93.1,0.38,Electronics,49.35,0.32864661654135335
32,81.47,0.0,Electronics,49.35,0.605744445808273
48,4.74,0.22,Accessories,49.03,3.0
8,20.35,0.1,Stationery,48.765,2.1566830466830464
23,33.63,0.33,Apparel,49.0,0.9762117157300028
8,68.66,0.13,Stationery,48.765,0.6179078065831635
2,33.4,0.16,Apparel,49.0,1.2323353293413175
27,49.95,0.3,Stationery,48.765,0.6833933933933933
36,5.04,0.15,Apparel,49.0,3.0
35,4.66,0.27,Furniture,48.36,3.0
23,73.48,0.37,Stationery,48.765,0.41809948285247683
41,11.4,0.08,Accessories,49.03,3.0
48,28.29,0.33,Apparel,49.0,1.160480735242135
13,1.47,0.32,Stationery,48.765,3.0
31,55.33,0.05,Furniture,48.36,0.8303271281402494
45,54.79,0.23,Accessories,49.03,0.6890509217010404
30,45.18,0.32,Furniture,48.36,0.7278618857901725
6,78.9,0.1,Accessories,49.03,0.559277566539924
20,39.0,0.09,Electronics,49.35,1.1515
26,25.56,0.48,Electronics,49.35,1.0039906103286385
36,34.13,0.32,Apparel,49.0,0.9762672135950775
19,69.38,0.33,Furniture,48.36,0.46701066589795326
22,94.81,0.43,Accessories,49.03,0.29476953907815634
12,70.77,0.33,Electronics,49.35,0.46721068249258163
3,99.17,0.03,Stationery,48.765,0.4769794292628819
5,61.05,0.45,Electronics,49.35,0.44459459459459466
5,94.77,0.13,Electronics,49.35,0.4530389363722697
43,15.02,0.02,Furniture,48.36,3.0
23,24.56,0.32,Stationery,48.765,1.350171009771987
14,66.41,0.22,Furniture,48.36,0.5679987953621443
49,49.41,0.38,Stationery,48.765,0.611906496660595
39,36.99,0.38,Accessories,49.03,0.8218058934847255
7,36.14,0.34,Furniture,48.36,0.8831654676258991
35,30.82,0.03,Furniture,48.36,1.522037637897469
38,81.28,0.18,Furniture,48.36,0.4878838582677165
14,36.13,0.34,Apparel,49.0,0.895101024079712
17,8.62,0.13,Stationery,48.765,3.0
